"","locus","CO2_1percent","CO2_30percent","CO2_4percent","CO2_ambient","difference_4minus30","difference_Ambientminus30","difference_1minus30","difference_Ambientminus4","Gene name","Product"
"1","sll0869",0.0231815707637836,0.00449262616423293,0.190184385327219,-0.0379624958075603,0.185691759162986,-0.0424551219717932,0.0186889445995507,-0.0611440665713439,"aat","Leu/Phe-tRNA-protein transferase"
"2","slr0518",-1.23843246846808,-0.0878574062293085,-1.71725215686715,-0.0704298850733469,-1.62939475063784,0.0174275211559616,-1.15057506223878,1.16800258339474,"abfB","similar to alpha-L-arabinofuranosidase B"
"3","sll0728",-4.1201100934748,-2.10000909005799,-2.73723857937385,-4.19404666716825,-0.63722948931586,-2.09403757711026,-2.02010100341681,-0.0739365736934507,"accA","acetyl-CoA carboxylase alpha subunit"
"4","slr0435",-3.07630144596837,-3.43963972891818,-3.86674031551746,-1.45342527275354,-0.427100586599282,1.98621445616464,0.36333828294981,1.62287617321483,"accB","biotin carboxyl carrier protein of acetyl-CoA c arboxylase"
"5","sll0053",-3.18463733489558,-1.9246100411585,-2.46289015642698,-3.75792972066271,-0.538280115268472,-1.8333196795042,-1.26002729373708,-0.573292385767124,"accC","biotin carboxylase"
"6","sll0336",-7.26820704650424,-4.60935112804061,-5.08408041516188,-6.0079663286679,-0.474729287121263,-1.39861520062729,-2.65885591846362,1.26024071783633,"accD;  ycf11;  zfpA","acetyl-CoA carboxylase beta subunit"
"7","sll1299",0.21576234396441,0.195868508704386,0.129584500428697,0.171594704045725,-0.0662840082756891,-0.0242738046586607,0.0198938352600244,-0.044167639918685,"ackA","acetate kinase"
"8","ssl2084",-6.7693272752355,-4.20310397333609,-5.73665791324717,-4.69743525881181,-1.53355393991108,-0.494331285475713,-2.5662233018994,2.07189201642369,"acpP","acyl carrier protein"
"9","sll0542",0.0998691391678547,0.361555373071772,0.168045005715339,-0.181549974012377,-0.193510367356433,-0.543105347084149,-0.261686233903918,-0.281419113180232,"acs","acetyl-coenzyme A synthetase"
"10","sll1900",-0.00332127366189454,0.348923879832815,0.409532463171747,-0.0468996039698023,0.0606085833389316,-0.395823483802617,-0.352245153494709,-0.0435783303079077,"act","acetyltransferase"
"11","sll1059",0.134187968642863,0.409095642040318,0.134818031480793,0.24452770200403,-0.274277610559525,-0.164567940036289,-0.274907673397455,0.110339733361166,"adk1","adenylate kinase"
"12","sll1815",-6.9219058134562,-2.64755756602045,-4.74339826787522,-4.7907676727607,-2.09584070185477,-2.14321010674025,-4.27434824743575,2.1311381406955,"adk2","adenylate kinase"
"13","slr1176",0.0508304005233687,-0.261298123704437,-0.251523011354167,0.290826304660849,0.00977511235027018,0.552124428365286,0.312128524227806,0.23999590413748,"glgC","glucose-1-phosphate adenylyltransferase"
"14","sll1234",-2.99083838792941,-1.77705510528637,-1.9371607269427,-1.55090329962391,-0.160105621656332,0.226151805662457,-1.21378328264304,1.43993508830549,"ahcY","adenosylhomocysteinase"
"15","sll0362",-4.6934541085767,-2.79821787350836,-4.07313558410847,-2.85805172515352,-1.27491771060011,-0.0598338516451586,-1.89523623506834,1.83540238342318,"alaS","alanyl-tRNA synthetase"
"16","slr0827",-1.38404160582476,-4.31700396939044,-3.2314783556872,-6.61218904633846,1.08552561370324,-2.29518507694802,2.93296236356567,-5.2281474405137,"alr","alanine racemase"
"17","sll0100",-1.94737059028243,0.233378775974209,-1.45212054728127,-0.52795829206371,-1.68549932325548,-0.761337068037919,-2.18074936625664,1.41941229821872,"ama","N-acyl-L-amino acid amidohydrolase"
"18","slr1653",0.0252645895354472,0.4010490786954,0.164408041382149,-0.118432255456052,-0.236641037313252,-0.519481334151452,-0.375784489159953,-0.143696844991499,"ama","N-acyl-L-amino acid amidohydrolase"
"19","slr1910",-0.568411591515489,-1.42534247142071,-0.668817590007261,-0.521617505778676,0.756524881413449,0.903724965642034,0.856930879905221,0.0467940857368122,"amiA","probable N-acetylmuramoyl-L-alanine amidase"
"20","slr0891",0.135039111322179,-0.695546232317144,0.0931871041914439,-0.0973335618825565,0.788733336508588,0.598212670434588,0.830585343639323,-0.232372673204735,"amiA","N-acetylmuramoyl-L-alanine amidase"
"21","slr1744",0.96286062810905,-4.20350541447923,-2.33528358062604,-1.03296502018132,1.86822183385319,3.17054039429791,5.16636604258828,-1.99582564829037,"amiA","N-acetylmuramoyl-L-alanine amidase;  periplasmic protein"
"22","slr0447",-1.92441210531337,0.750254076525906,-1.57029713329091,-0.371535058068844,-2.32055120981682,-1.12178913459475,-2.67466618183928,1.55287704724453,"urtA","periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein"
"23","slr0323",-0.774442895574356,0.412405785600585,-0.268630377771281,-0.0496619210800992,-0.681036163371867,-0.462067706680685,-1.18684868117494,0.724780974494257,"ams1","putative alpha-mannosidase"
"24","sll0108",-0.60345859098414,1.8052575921628,-0.576530468869272,0.0117040301661278,-2.38178806103207,-1.79355356199667,-2.40871618314694,0.615162621150268,"amt1","ammonium/methylammonium permease"
"25","sll1017",0.202988308038485,0.365342313858646,0.0322621392165565,0.29835287860558,-0.33308017464209,-0.0669894352530658,-0.162354005820161,0.095364570567095,"amt2","ammonium/methylammonium permease"
"26","sll0537",0.266135881529927,0.275152762614623,0.0681878070938545,-0.119611929088211,-0.206964955520768,-0.394764691702834,-0.00901688108469612,-0.385747810618138,"amt3","ammonium/methylammonium permease"
"27","slr1109",-0.845854570353957,0.285907918378482,-0.671021757410925,1.09174460392612,-0.956929675789408,0.805836685547643,-1.13176248873244,1.93759917428008,"ank","similar to ankyrin"
"28","slr2067",-5.67190285762801,-1.87000742739662,-4.46117353275922,-4.94080575983413,-2.59116610536261,-3.07079833243751,-3.80189543023139,0.73109709779388,"apcA","allophycocyanin alpha subunit"
"29","slr1986",-4.11472266596823,-0.331193883689367,-3.68936072890608,-3.60783176583845,-3.35816684521671,-3.27663788214908,-3.78352878227887,0.506890900129787,"apcB","allophycocyanin beta subunit"
"30","ssr3383",-0.106978590930648,0.620233800080494,-0.00438162222872105,-0.911264345169023,-0.624615422309215,-1.53149814524952,-0.727212391011142,-0.804285754238375,"apcC","phycobilisome small core linker polypeptide"
"31","sll0928",-2.07453628289633,0.0340017460829264,-1.49286814759735,-0.704612731454085,-1.52686989368028,-0.738614477537011,-2.10853802897926,1.36992355144225,"apcD","allophycocyanin-B"
"32","slr0335",-5.42345666997044,0.164517446775487,-4.59786733158386,-3.19738133474985,-4.76238477835934,-3.36189878152534,-5.58797411674592,2.22607533522059,"apcE","phycobilisome core-membrane linker polypeptide"
"33","slr1459",-3.52250758849866,0.262380705421261,-2.2791683256658,-2.04302316215319,-2.54154903108706,-2.30540386757445,-3.78488829391992,1.47948442634547,"apcF","phycobilisome core component"
"34","sll1343",-4.60389638978961,-1.91756358191487,-2.38893062997353,-0.856145448354277,-0.471367048058663,1.06141813356059,-2.68633280787474,3.74775094143533,"ape2","aminopeptidase"
"35","slr2057",-0.096397951092338,0.249892349838402,0.0651547744650517,-0.464419348908034,-0.18473757537335,-0.714311698746435,-0.34629030093074,-0.368021397815696,"apqZ","water channel protein"
"36","sll1430",0.116600808985629,0.0560936584671234,0.120548716386989,0.0925443973000233,0.0644550579198661,0.0364507388328999,0.0605071505185055,-0.0240564116856056,"apt","adenine phosphoribosyltransferase"
"37","sll0573",-1.13123289325333,-0.0108517941563696,-1.08661200960658,-0.117977959908084,-1.07576021545021,-0.107126165751715,-1.12038109909696,1.01325493334524,"arcC","carbamate kinase"
"38","slr1898",-4.07841019315641,-2.82646696728705,-4.02364794793302,-0.974446608856506,-1.19718098064597,1.85202035843055,-1.25194322586935,3.1039635842999,"argB","N-acetylglutamate kinase"
"39","sll0080",-0.581117576640591,0.143719262330778,-0.621693866348235,-0.238572618237967,-0.765413128679013,-0.382291880568745,-0.724836838971369,0.342544958402624,"argC","N-acetyl-gamma-glutamyl-phosphate reductase"
"40","slr1022",-2.48815361815381,-2.05076184505184,-2.50294559069386,-1.09281356677539,-0.452183745642023,0.957948278276448,-0.437391773101973,1.39534005137842,"argD","N-acetylornithine aminotransferase"
"41","sll0902",-0.412448886869795,0.422062507756153,-0.516977887195922,-0.442645294350333,-0.939040394952075,-0.864707802106486,-0.834511394625948,-0.030196407480538,"argF","ornithine carbamoyltransferase"
"42","slr0585",-2.57379051349983,-1.32604620038246,-1.53535793920837,-1.11144751562367,-0.209311738825911,0.214598684758788,-1.24774431311737,1.46234299787616,"argG","argininosuccinate synthetase"
"43","slr1133",-2.18171544925424,-2.56479353559528,-2.9236957790221,0.107018498827968,-0.358902243426821,2.67181203442325,0.383078086341042,2.28873394808221,"argH","L-argininosuccinate lyase"
"44","sll1883",-2.74482953167838,-0.270998231784171,-1.31368184535864,-0.00279794263775261,-1.04268361357447,0.268200289146419,-2.47383129989421,2.74203158904063,"argJ","arginine biosynthesis bifunctional protein ArgJ"
"45","sll0502",-4.67011905862351,-3.6229467413077,-4.32622630917011,-1.52950623041217,-0.703279567862408,2.09344051089553,-1.04717231731582,3.14061282821134,"argS","arginyl-tRNA-synthetase"
"46","slr0444",-5.63081456839694,-1.41626436786461,-3.58680528435233,-2.77467681038402,-2.17054091648771,-1.3584124425194,-4.21455020053232,2.85613775801292,"aroA","3-phosphoshikimate 1-carboxyvinyltransferase"
"47","slr2130",-5.97575068872603,-2.4786670716939,-4.6007330990978,-2.4472160093583,-2.1220660274039,0.0314510623356026,-3.49708361703213,3.52853467936773,"aroB","3-dehydroquinate synthase"
"48","sll1747",-5.75137071625921,-2.24254479976249,-3.8871982333302,-1.21425911515733,-1.64465343356771,1.02828568460516,-3.50882591649672,4.53711160110188,"aroC","chorismate synthase"
"49","slr1559",-3.499891198405,-1.48089970134652,-2.80733703279579,-0.643558427301125,-1.32643733144927,0.837341274045395,-2.01899149705848,2.85633277110388,"aroE","shikimate 5-dehydrogenase"
"50","sll0109",-0.563238249685145,-2.49044863800762,-0.667493159041981,-1.9287286996566,1.82295547896564,0.561719938351012,1.92721038832247,-1.36549044997146,"aroH","chorismate mutase"
"51","sll1669",-4.11892512398647,-2.57911179629265,-3.05391705458824,-1.31841235509336,-0.474805258295588,1.26069944119929,-1.53981332769382,2.80051276889311,"aroK","shikimate kinase"
"52","sll1112",-3.16504055972467,-1.44549135918324,-2.43967489076176,-0.922006040464316,-0.994183531578527,0.523485318718922,-1.71954920054143,2.24303451926035,"aroQ","3-dehydroquinate dehydratase"
"53","sll1957",0.120115567559607,-0.269125177853929,0.290895805610148,-0.162181956504751,0.560020983464077,0.106943221349177,0.389240745413536,-0.282297524064359,"arsA","transcriptional regulator"
"54","slr0946",0.17871417826196,0.0812876430948276,0.216443390093443,0.294887577832486,0.135155746998615,0.213599934737658,0.0974265351671328,0.116173399570525,"arsC","arsenate reductase"
"55","slr0549",-2.75334795091945,-1.90923066606354,-2.08360329491773,0.278835314327077,-0.174372628854193,2.18806598039061,-0.844117284855911,3.03218326524653,"asd","aspartate beta-semialdehyde dehydrogenese"
"56","sll1766",0.131690116277982,0.00283447996125885,0.182484571432228,0.0187900237260752,0.179650091470969,0.0159555437648164,0.128855636316723,-0.112900092551907,"aslB","hypothetical protein"
"57","sll0495",-1.57006795682511,-1.16180189177577,-1.20808546333062,-0.164240277452045,-0.0462835715548515,0.997561614323724,-0.408266065049337,1.40582767937306,"asnS","asparaginyl-tRNA synthetase"
"58","slr1705",0.164138570177723,-0.0782286430707314,0.258430955377923,0.130134661711088,0.336659598448654,0.208363304781819,0.242367213248454,-0.0340039084666345,"aspA","aspartoacylase"
"59","sll0006",-1.63489570520518,-1.17768710233708,-1.45313089464859,0.544974751302833,-0.275443792311515,1.72266185363991,-0.457208602868098,2.17987045650801,"aspC","putative aminotransferase"
"60","sll0402",-2.56661992437261,-3.35773859294971,-2.51978924977979,-1.43499121096636,0.837949343169922,1.92274738198335,0.791118668577105,1.13162871340624,"aspC","aspartate aminotransferase"
"61","slr0036",0.262576269096948,-0.121681141774596,0.202317452865185,-0.117240410234069,0.323998594639781,0.00444073154052654,0.384257410871543,-0.379816679331017,"aspC","aspartate aminotransferase"
"62","slr1720",-4.94239523233187,-3.81021072244399,-4.21735973042057,-0.707958825747107,-0.407149007976581,3.10225189669688,-1.13218450988788,4.23443640658476,"aspS","aspartyl-tRNA synthetase"
"63","sll1874",0.148697270644391,-0.367817381368619,0.236787996887753,0.209906466914918,0.604605378256372,0.577723848283537,0.516514652013009,0.0612091962705279,"acsF2; cycII; ycf59","hypothetical protein"
"64","sll1321",-4.15902450009392,-1.81966776548686,-3.04281342756716,-0.993491016438927,-1.2231456620803,0.826176749047929,-2.33935673460706,3.16553348365499,"atp1","hypothetical protein"
"65","sll1326",-5.0806088509981,-1.50823532132322,-2.34357918463265,-2.52674109139954,-0.835343863309422,-1.01850577007632,-3.57237352967488,2.55386775959856,"atpA","ATP synthase alpha chain"
"66","slr1329",-6.46902533732089,-2.77000664340978,-4.28605592768701,-2.90595072171869,-1.51604928427723,-0.135944078308911,-3.69901869391111,3.5630746156022,"atpB","ATP synthase beta subunit"
"67","sll1327",-6.32612573883074,-2.92570767639535,-4.84306326217519,-0.612676881033781,-1.91735558577984,2.31303079536157,-3.40041806243539,5.71344885779696,"atpC","ATP synthase gamma chain"
"68","sll1325",-5.67659029870899,-2.24656851649713,-3.49813817144267,-1.44845187647198,-1.25156965494554,0.798116640025148,-3.43002178221186,4.228138422237,"atpD","ATP synthase delta chain of CF(1)"
"69","slr1330",-9.68024579830837,-5.00206830487127,-7.24475708813181,-3.35897007113679,-2.24268878326054,1.64309823373448,-4.6781774934371,6.32127572717158,"atpE","ATP synthase epsilon chain of CF(1)"
"70","sll1324",-5.74692436090868,-2.21135261008802,-2.67465786420834,-2.3371475357359,-0.463305254120318,-0.125794925647877,-3.53557175082065,3.40977682517278,"atpF","ATP synthase B chain (subunit I) of CF(0)"
"71","sll1323",-3.16476784961559,-1.90209169541396,-2.06969404994206,-2.2331956121649,-0.167602354528093,-0.331103916750934,-1.26267615420162,0.931572237450687,"atpG","ATP synthase subunit b' of CF(0)"
"72","ssl2615",-4.30982555473284,-0.794582641277245,-1.44078984206164,-2.07466311264498,-0.646207200784397,-1.28008047136774,-3.51524291345559,2.23516244208786,"atpH","ATP synthase C chain of CF(0)"
"73","sll1322",-4.3641296182264,-1.79110480534277,-2.60997403866179,-1.45555694182151,-0.818869233319015,0.335547863521258,-2.57302481288363,2.90857267640488,"atpI","ATP synthase A chain of CF(0)"
"74","ssr2049",0.24046395758184,0.0541792393568496,0.0161527413336147,0.0482073261004941,-0.0380264980232349,-0.00597191325635552,0.186284718224991,-0.192256631481346,"bchB","unknown protein"
"75","slr0905",0.118759305542682,-0.744757233786598,0.231127718082703,0.125433848735164,0.975884951869302,0.870191082521763,0.86351653932928,0.00667454319248259,"bchE","Mg-protoporphyrin IX monomethyl ester oxidative cyclase"
"76","slr0242",0.16374680936918,-2.20958112545724,-0.0966207413577242,0.238158551926146,2.11296038409952,2.44773967738339,2.37332793482642,0.0744117425569655,"bcp","bacterioferritin comigratory protein homolog"
"77","sll0221",-0.898149147439954,-0.172183316349398,-0.769419178970419,-0.651316248344824,-0.59723586262102,-0.479132931995425,-0.725965831090555,0.24683289909513,"bcp","bacterioferritin comigratory protein"
"78","slr1890",0.209569672429489,0.127655817469056,0.111108211775081,0.134686441154372,-0.0165476056939749,0.00703062368531604,0.0819138549604323,-0.0748832312751163,"bfr","bacterioferritin"
"79","sll1341",0.232712504607978,0.154102043628612,0.273296601512235,0.0880425278325555,0.119194557883623,-0.0660595157960563,0.0786104609793666,-0.144669976775423,"bfr","bacterioferritin"
"80","sll1538",-0.197691723788978,-0.878999074225966,0.203798083685745,0.0953048048743458,1.08279715791171,0.974303879100311,0.681307350436988,0.292996528663323,"bgl","similar to beta-hexosaminidase a precursor"
