"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"syn03010","syn03010","Ribosome - Synechocystis sp. PCC 6803",54,-0.803529620857079,-2.36160385929661,1e-10,3.35e-09,2.36842105263158e-09,517,"tags=81%, list=15%, signal=70%","sll1244/ssl3432/slr0469/ssr2799/sll1824/sll1740/slr1356/sll1811/ssl0601/ssr1736/sll1799/sll1819/ssl1426/sll1745/sll1808/sll1802/ssr1399/sll1101/sll1817/sll1804/ssl2233/sll1813/sll1096/sll1097/ssl1784/slr0628/sll1800/sll1805/sll1746/ssr1398/sll1822/sll1260/ssl3436/sll1767/sll1807/ssl3445/ssl3437/sll1810/ssr0482/sll1744/sll1809/sll1743/sml0006/sll1816"
"syn01110","syn01110","Biosynthesis of secondary metabolites - Synechocystis sp. PCC 6803",298,-0.544023986597366,-1.88921398867281,1e-10,3.35e-09,2.36842105263158e-09,613,"tags=40%, list=18%, signal=36%","sll0421/sll0902/sll1282/sll0807/sll0506/slr0088/slr2136/sll0017/sll0045/slr0032/sll1883/slr1096/slr2074/sll1112/sll1058/sll1945/slr0738/sll0573/slr0194/sll1653/sll1662/slr1099/sll1214/slr0608/slr1030/slr0348/slr1945/slr2088/slr1898/slr2072/sll1091/slr1300/slr2035/sll1848/slr2094/slr0493/slr0066/sll1363/slr0966/slr0506/sll0934/sll1383/sll0480/slr1808/slr0879/sll0356/slr0543/slr1510/sll0019/slr0597/slr1349/slr0212/sll1185/sll1958/slr1255/ssl2084/sll1841/slr0951/slr1887/slr1517/slr0886/sll0065/sll0469/sll0373/slr1777/sll0901/sll1498/slr0536/sll1931/sll1747/slr0752/sll1172/sll1688/slr0009/slr0452/sll0370/slr0500/slr0817/sll0461/sll1329/sll1275/slr0012/slr0739/sll1893/slr1665/sll1908/sll1760/sll0418/slr0682/slr1790/slr0116/sll1470/slr2130/sll1070/slr1784/sll1056/slr0657/sll1444/slr1542/slr0458/slr0546/sll0455/sll0578/slr0838/slr1722/sll0018/slr0661/slr1254/slr1226/slr1867/slr1125/sll1815/slr0444/sll0936/sll0504/slr0519/slr0520/sll1994/slr1055/sll0711"
"syn01230","syn01230","Biosynthesis of amino acids - Synechocystis sp. PCC 6803",91,-0.655571088424552,-2.08261128723577,6.55728196094555e-10,1.46445963794451e-08,1.03536030962298e-08,650,"tags=60%, list=19%, signal=50%","sll0080/slr0783/sll0902/sll0807/slr0032/sll1883/sll1112/sll1058/slr0738/slr0194/sll1662/slr0608/slr1945/slr2088/slr1898/slr2072/slr2035/sll1363/slr0966/sll0934/sll0480/sll0356/slr0543/slr0212/sll1958/slr1517/sll0065/sll0469/sll0373/sll1931/sll1747/slr0752/sll1172/sll1688/slr0452/slr0500/sll0461/sll1275/sll1893/slr1665/sll1908/sll1760/slr0682/sll1470/slr2130/sll1070/slr0657/sll1444/slr0546/sll0455/sll0018/slr0661/slr1867/slr0444/sll0504"
"syn00196","syn00196","Photosynthesis - antenna proteins - Synechocystis sp. PCC 6803",15,-0.923128655493352,-2.16125413681457,3.51737405250266e-09,5.89160153794196e-08,4.16531137796368e-08,80,"tags=80%, list=2%, signal=78%","sll0928/slr2067/slr1459/slr1986/sll1051/slr1878/sll1579/sll1580/sll1578/sll1577/slr0335/slr2051"
"syn00195","syn00195","Photosynthesis - Synechocystis sp. PCC 6803",63,-0.639936858002836,-1.92631937467713,1.92315700927518e-06,2.57703039242875e-05,1.82193821931333e-05,770,"tags=56%, list=23%, signal=44%","ssr3451/ssr2831/slr1181/ssl2615/ssl0563/smr0005/slr0906/sll1322/sll1326/sml0007/sll1796/slr0737/sll0819/sll1325/slr1643/slr1835/sml0003/smr0006/slr0343/sll0258/slr1329/sll1316/sll0199/sll1194/slr1834/sll1327/sml0001/slr1330/slr1645/sll0851/ssl2598/slr0927/sll0427/sll0849/smr0008"
"syn00260","syn00260","Glycine, serine and threonine metabolism - Synechocystis sp. PCC 6803",17,-0.778659378918741,-1.88129777433403,0.0002201065051824,0.0024578559745368,0.00173768293565053,559,"tags=76%, list=16%, signal=64%","slr1096/slr1945/slr2072/slr0966/slr0879/slr0543/sll1931/sll1172/sll1688/sll1908/sll1760/slr0657/sll0455"
"syn00290","syn00290","Valine, leucine and isoleucine biosynthesis - Synechocystis sp. PCC 6803",12,-0.81906810429507,-1.82540238244078,0.000550757296077279,0.00509535674161279,0.00360237318731462,566,"tags=75%, list=17%, signal=63%","slr0032/slr2088/slr2072/sll1363/slr1517/sll0065/slr0452/sll1470/sll1444"
"syn01232","syn01232","Nucleotide metabolism - Synechocystis sp. PCC 6803",30,-0.678221480274597,-1.82189571897391,0.000608400804968691,0.00509535674161279,0.00360237318731462,382,"tags=57%, list=11%, signal=51%","slr1573/sll0368/sll0421/sll0144/slr0379/slr1237/sll1035/sll1823/sll0398/slr1123/slr0591/sll1258/slr0213/slr1722/sll1815/slr1164/sll1443"
"syn00900","syn00900","Terpenoid backbone biosynthesis - Synechocystis sp. PCC 6803",14,-0.778471918731175,-1.79604673743939,0.000746083623325004,0.00555417808475281,0.00392675591223686,583,"tags=79%, list=17%, signal=65%","sll0506/slr2136/sll1945/slr1099/slr0348/sll1091/sll0019/slr0951/slr0739/slr1542/sll0711"
"syn00230","syn00230","Purine metabolism - Synechocystis sp. PCC 6803",46,-0.602482940517968,-1.71830878556619,0.000909668536156527,0.00609477919224873,0.00430895622389934,348,"tags=37%, list=10%, signal=34%","slr0597/sll0469/sll1823/sll0901/sll0398/slr1123/slr0591/sll1056/sll0578/slr0838/slr0213/slr1722/slr1226/sll1815/slr1164/slr0519/slr0520"
